TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
xAegilotriticum triticoides,AScb0382-b98e-4b4d-a0db-96b3e7231a9c,Species,additionalTaxa,4.2,2.5,1,4.2,2.9,1,5.3,2.8,1,9.4,2.8,1,8.2,2.6,1
xAgropogon lutosus,AS80a4af-712b-4acf-b678-b1f74d43ddb4,Species,additionalTaxa,4.9,5.8,2,6.2,2.9,1,7.7,5.3,2,8.2,2.8,1,5.9,2.7,2
xCalammophila baltica,adb99dfe-7c2b-4396-a957-33e56cddd057,Species,EuroMed,3.9,2.0,6,3.7,4.2,6,6.7,6.1,4,8.5,1.4,6,4.2,2.5,4
xDactylocamptis arbostii,AH39611e-a6d5-4c03-a4b0-555324e0f3c2,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,7.2,2.8,1,9.4,2.8,1,4.2,2.6,1
xDactylocamptis boudieri,AHa88058-443f-4f56-884b-bb73bf920387,Species,additionalHybrids,6.8,2.5,1,2.7,2.9,1,6.1,2.8,1,8.2,2.8,1,4.2,2.6,1
xDactylocamptis chassagnei,AHbe215b-677a-442f-84ca-41311c99b8ac,Species,additionalHybrids,5.9,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,6.1,2.6,1
xDactylocamptis leguei,AHff9bfd-eed6-4ab0-813f-e1b8fe071912,Species,additionalHybrids,5.9,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,6.1,2.6,1
xDactylocamptis timbaliana,AHd330ef-b166-4e67-8626-a390dcc93433,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
xDactylodenia lebrunii,AHcc5410-4bdf-441d-9dca-ed7d47bed2c7,Species,additionalHybrids,6.8,2.5,1,2.7,2.9,1,6.1,2.8,1,8.2,2.8,1,4.2,2.6,1
xDactylodenia legrandiana,AH6b939d-19c7-4c0c-a79b-2c43e95642c7,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
xDactylodenia wintonii,AS4cac44-b5d2-42e1-92d4-0475430096c3,Species,additionalTaxa,6.8,2.5,1,1.5,2.9,1,7.2,2.8,1,9.4,2.8,1,4.2,2.6,1
xElytrordeum rouxii,AHe8758d-e5ba-4180-90f7-0917bf7acfd3,Species,additionalHybrids,5.0,2.5,1,2.7,2.9,1,8.4,2.8,1,8.2,2.8,1,8.1,2.6,1
xOrchidactyla kromayeri,AHb6f311-30c6-41e5-b502-a3bb44825f12,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
