Plot_2;Plot_2;Subplot;Date;Landuse;Area;Latitude;Longitude;Precision;Elevation;Aspect;Inclination;Max_microrelief ;Soil depth_Mean;Soil depth_SD;Vegetation_height_Mean;Vegetation_height_SD;Cover_Veg;Cover_H;Cover_C;Cover_Litter;Cover_Dead_wood;Cover_Stones;Cover_Gravel;Cover_Fine soil
CH01A;CH01;A;11.04.2019;Lawn;Grueental;2694078;1230519;5;456;NA;2;1;28.7;2.4;4.1;0.8;100;100;0;1;NA;NA;NA;100
CH01B;CH01;B;11.04.2019;Lawn;Grueental;2694092;1230521;5;460;NA;3;3;26.5;1.7;3.8;1.1;98;100;NA;1;NA;NA;NA;100
CH02A;CH02;A;11.04.2019;Meadow;Grueental;2694117;1230523;3.9;456;NA;5;7;34.1;11.4;12.3;2.7;98;98;2;1;NA;NA;NA;100
CH02B;CH02;B;11.04.2019;Meadow;Grueental;2694128;1230526;4.5;455;360;5;11;40;10.7;8.8;2.3;95;NA;NA;10;NA;NA;NA;100
CH03A;CH03;A;11.04.2019;Lawn;Grueental;2694073;1230508;5;456;NA;1;3;26;1.2;2.7;0.7;95;95;0;0;2;10;5;85
CH03B;CH03;B;11.04.2019;Lawn;Grueental;2694087;1230513;5;460;NA;1;3.5;29.4;2.4;3.1;0.7;95;95;0;1;0;0;0;100
CH04A;CH04;A;11.04.2019;Meadow;Grueental;2694119;1230515;6;456;NA;9;7;32.8;6.1;8.6;1.7;100;95;10;0;0;5;5;90
CH04B;CH04;B;11.04.2019;Meadow;Grueental;2694163;1230502;4;460;NA;9;NA;38.2;2.4;12.3;3.2;100;100;0;5;0;0;0;100
CH05A;CH05;A;11.04.2019;Lawn;Grueental;2694063;1230525;3.5;456;NA;1;3;25;4.4;4.5;0.9;NA;98;NA;5;0;0;0;100
CH05B;CH05;B;11.04.2019;Lawn;Grueental;2694076;1230528;3.5;457;NA;2;2.5;27.8;3.7;4.8;0.6;100;100;NA;0;0;0;0;100
CH06A;CH06;A;11.04.2019;Meadow;Grueental;2694087;1230533;3.5;457;5;5;NA;34.1;3.6;11.2;4.7;95;95;1;3;0;0;0;100
CH06B;CH06;B;11.04.2019;Meadow;Grueental;2694100;1230539;4.3;454;NA;5;12;42.6;8.1;22.6;9.8;100;100;10;0;0;0;0;100
CH07A;CH07;A;11.04.2019;Lawn;Grueental;2694045;1230516;5;455;NA;3;3.5;25.9;3.5;5.8;1.5;NA;;NA;NA;NA;0;0;100
CH07B;CH07;B;11.04.2019;Lawn;Grueental;2694059;1230520;3.7;455;NA;3;4.5;33.6;1.3;4.5;0.7;98;98;NA;60;0;0;0;98
CH08A;CH08;A;11.04.2019;Meadow;Grueental;2694073;1230552;3.9;452;NA;9;6.5;31;4.7;11.8;5;NA;;NA;25;NA;0;0;100
CH08B;CH08;B;11.04.2019;Meadow;Grueental;2694077;1230538;4;458;NA;4;6;35.2;4.2;10.8;3.3;NA;99;NA;75;0;0;0;99
CH09A;CH09;A;11.04.2019;Lawn;Grueental;2693996;1230552;4;455;360;11;4;22.9;8.6;5.4;1.7;NA;85;55;NA;NA;NA;NA;100
CH09B;CH09;B;11.04.2019;Lawn;Grueental;2693992;1230566;3.5;455;360;6;3;32.8;6.1;6.4;1;100;98;4;NA;NA;NA;NA;100
CH10A;CH10;A;11.04.2019;Meadow;Grueental;2694028;1230527;5;458;NA;0;8;35.4;11;23.6;4.1;100;100;NA;10;0;0;0;100
CH10B;CH10;B;11.04.2019;Meadow;Grueental;2694041;1230531;4.9;457;NA;1;5.5;26.4;5.5;8.5;2.7;99;99;NA;30;0;0;0;100
CH11A;CH11;A;12.04.2019;Meadow;Bib.;2693996;1230337;3;470;NA;6;7;26.4;4.6;12.8;3;NA;97;NA;40;0;0;0;100
CH11B;CH11 ;B;12.04.2019;Meadow;Bib.;2693989;1230328;3;474;NA;NA;NA;31.2;4.3;10.6;1.5;NA;99;1;70;0.1;0;0;100
